disasterNumber,state,declaredCountyArea,placeCode
1463,MO,Cass (County),99037.0
1463,MO,Iron (County),99093.0
1463,MO,Knox (County),99103.0
1463,MO,Pike (County),99163.0
1463,MO,Randolph (County),99175.0
1463,MO,Crawford (County),99055.0
1463,MO,Franklin (County),99071.0
1463,MO,Newton (County),99145.0
1463,MO,Miller (County),99131.0
1463,MO,Chariton (County),99041.0
1463,MO,Callaway (County),99027.0
1463,MO,Lafayette (County),99107.0
1463,MO,Jasper (County),99097.0
1463,MO,Polk (County),99167.0
1463,MO,Clay (County),99047.0
1463,MO,Lincoln (County),99113.0
1463,MO,Bollinger (County),99017.0
1463,MO,Howard (County),99089.0
1463,MO,Phelps (County),99161.0
1463,MO,Cole (County),99051.0
1463,MO,Dade (County),99057.0
1463,MO,Marion (County),99127.0
1463,MO,Moniteau (County),99135.0
1463,MO,Cape Girardeau (County),99031.0
1463,MO,Johnson (County),99101.0
1463,MO,Ralls (County),99173.0
1463,MO,Gasconade (County),99073.0
1463,MO,Dent (County),99065.0
1463,MO,Montgomery (County),99139.0
1463,MO,Oregon (County),99149.0
1463,MO,Clark (County),99045.0
1463,MO,Lewis (County),99111.0
1463,MO,Bates (County),99013.0
1463,MO,Henry (County),99083.0
1463,MO,Perry (County),99157.0
1463,MO,Shelby (County),99205.0
1463,MO,Webster (County),99225.0
1463,MO,Stoddard (County),99207.0
1463,MO,St. Louis (County),99189.0
1463,MO,Vernon (County),99217.0
1463,MO,Saline (County),99195.0
1463,MO,St. Clair (County),99185.0
1464,TN,Bledsoe (County),99007.0
1464,TN,Anderson (County),99001.0
1463,MO,St. Francois (County),99187.0
1463,MO,Washington (County),99221.0
1463,MO,Ste. Genevieve (County),99186.0
1463,MO,Taney (County),99213.0
1463,MO,Stone (County),99209.0
1463,MO,Scott (County),99201.0
1464,TN,Cheatham (County),99021.0
1464,TN,Jefferson (County),99089.0
1464,TN,Sequatchie (County),99153.0
1464,TN,Giles (County),99055.0
1464,TN,McMinn (County),99107.0
1464,TN,Blount (County),99009.0
1464,TN,Henry (County),99079.0
1464,TN,Polk (County),99139.0
1464,TN,Decatur (County),99039.0
1464,TN,Macon (County),99111.0
1464,TN,Dyer (County),99045.0
1464,TN,Marion (County),99115.0
1464,TN,Cannon (County),99015.0
1464,TN,Humphreys (County),99085.0
1464,TN,Hamilton (County),99065.0
1464,TN,Monroe (County),99123.0
1464,TN,Coffee (County),99031.0
1464,TN,Lauderdale (County),99097.0
1464,TN,Cumberland (County),99035.0
1464,TN,Lewis (County),99101.0
1464,TN,Benton (County),99005.0
1464,TN,Haywood (County),99075.0
1464,TN,Obion (County),99131.0
1464,TN,Robertson (County),99147.0
1464,TN,Fayette (County),99047.0
1464,TN,Marshall (County),99117.0
1464,TN,Campbell (County),99013.0
1464,TN,Houston (County),99083.0
1464,TN,Roane (County),99145.0
1464,TN,Grundy (County),99061.0
1464,TN,Meigs (County),99121.0
1464,TN,Smith (County),99159.0
1464,TN,Hardeman (County),99069.0
1464,TN,Montgomery (County),99125.0
1464,TN,Cocke (County),99029.0
1464,TN,Lake (County),99095.0
1464,TN,Shelby (County),99157.0
1464,TN,Henderson (County),99077.0
1464,TN,Perry (County),99135.0
1464,TN,Bradley (County),99011.0
1464,TN,Hickman (County),99081.0
1464,TN,Rhea (County),99143.0
1464,TN,DeKalb (County),99041.0
1464,TN,Loudon (County),99105.0
1464,TN,Carroll (County),99017.0
1464,TN,Jackson (County),99087.0
1464,TN,Rutherford (County),99149.0
1464,TN,Chester (County),99023.0
1464,TN,Knox (County),99093.0
1464,TN,Sevier (County),99155.0
1464,TN,Gibson (County),99053.0
1464,TN,Maury (County),99119.0
1464,TN,Crockett (County),99033.0
1464,TN,Lawrence (County),99099.0
1464,TN,Davidson (County),99037.0
1464,TN,Lincoln (County),99103.0
1464,TN,Bedford (County),99003.0
1464,TN,Hardin (County),99071.0
1464,TN,Morgan (County),99129.0
1464,TN,Dickson (County),99043.0
1464,TN,Madison (County),99113.0
1464,TN,Stewart (County),99161.0
1464,TN,Williamson (County),99187.0
1464,TN,Trousdale (County),99169.0
1464,TN,Wilson (County),99189.0
1465,OK,Cimarron (County),99025.0
1464,TN,Warren (County),99177.0
1464,TN,Sumner (County),99165.0
1464,TN,Tipton (County),99167.0
1465,OK,Cleveland (County),99027.0
1464,TN,Weakley (County),99183.0
1465,OK,Beaver (County),99007.0
1464,TN,Wayne (County),99181.0
1465,OK,Creek (County),99037.0
1464,TN,White (County),99185.0
1465,OK,Canadian (County),99017.0
1465,OK,Grady (County),99051.0
1465,OK,Okmulgee (County),99111.0
1465,OK,McClain (County),99087.0
1466,AL,Jackson (County),99071.0
1466,AL,Coosa (County),99037.0
1465,OK,Cherokee (County),99021.0
1466,AL,Washington (County),99129.0
1466,AL,Barbour (County),99005.0
1465,OK,Roger Mills (County),99129.0
1466,AL,Mobile (County),99097.0
1466,AL,Lee (County),99081.0
1466,AL,Bibb (County),99007.0
1466,AL,Cherokee (County),99019.0
1466,AL,Monroe (County),99099.0
1466,AL,St. Clair (County),99115.0
1465,OK,Logan (County),99083.0
1465,OK,Oklahoma (County),99109.0
1466,AL,Colbert (County),99033.0
1466,AL,Etowah (County),99055.0
1466,AL,Walker (County),99127.0
1465,OK,Seminole (County),99133.0
1466,AL,Limestone (County),99083.0
1465,OK,Garvin (County),99049.0
1466,AL,Chambers (County),99017.0
1466,AL,Shelby (County),99117.0
1465,OK,Pottawatomie (County),99125.0
1465,OK,Lincoln (County),99081.0
1466,AL,Lawrence (County),99079.0
1466,AL,Cleburne (County),99029.0
1465,OK,Kay (County),99071.0
1466,AL,Tuscaloosa (County),99125.0
1466,AL,Clarke (County),99025.0
1465,OK,Texas (County),99139.0
1466,AL,Talladega (County),99121.0
1466,AL,Macon (County),99087.0
1465,OK,Washington (County),99147.0
1465,OK,Nowata (County),99105.0
1466,AL,Madison (County),99089.0
1466,AL,DeKalb (County),99049.0
1467,NY,Chenango (County),99017.0
1465,OK,Delaware (County),99041.0
1466,AL,Calhoun (County),99015.0
1466,AL,Russell (County),99113.0
1465,OK,Osage (County),99113.0
1466,AL,Jefferson (County),99073.0
